S.NO,Video Title,Video_link,Views,Uploaded,Channel Name,Channel Link
1,Top Cyber Attacks In History | Biggest Cyber Attacks Of All Time | Cyber Security | Simplilearn,https://www.youtube.com/watch?v=fUeJtM1bgGo,217K views,1 year ago,Simplilearn,https://www.youtube.com/c/SimplilearnOfficial
2,8 Most Common Cybersecurity Threats | Types of Cyber Attacks | Cybersecurity for Beginners | Edureka,https://www.youtube.com/watch?v=Dk-ZqQ-bfy4,361K views,4 years ago,edureka!,https://www.youtube.com/c/edurekaIN
3,Why The U.S. Can't Stop Cyber Attacks,https://www.youtube.com/watch?v=hSQf3hUx9J0,321K views,1 year ago,CNBC,https://www.youtube.com/c/CNBC
4,Officials Sound Nationwide Alarm Over Cyber Attacks Against Schools,https://www.youtube.com/watch?v=9s2Dr8lLy2s,75K views,19 hours ago,TODAY,https://www.youtube.com/c/TODAY
5,Top 10 MINDBLOWING Cyber Attacks of ALL TIME!,https://www.youtube.com/watch?v=VQthnaqrZg4,835K views,7 months ago,TechBar,https://www.youtube.com/c/TechBar
6,Hackers & Cyber Attacks: Crash Course Computer Science #32,https://www.youtube.com/watch?v=_GzE99AmAQU,499K views,4 years ago,CrashCourse,https://www.youtube.com/c/crashcourse
7,"What is Cyber Attack? India faces cyberattacks threat from China, Current Affairs 2020 #UPSC #IAS",https://www.youtube.com/watch?v=OD9H1S5MrC0,82K views,Streamed 2 years ago,StudyIQ IAS,https://www.youtube.com/c/StudyIQcoachingcenter
8,Common Cyberattacks Explained | AkamaiVoice,https://www.youtube.com/watch?v=5GUqO3WkMjs,23K views,4 years ago,Forbes,https://www.youtube.com/c/Forbes
9,FBI Investigating Cyber Attacks On Schools By Ransomware Group,https://www.youtube.com/watch?v=eg-2sTaSwQs,7K views,1 day ago,NBC News,https://www.youtube.com/c/NBCNews
10,How a cyber attack crippled the Colonial Pipeline,https://www.youtube.com/watch?v=qJM5zG9XhZ8,83K views,1 year ago,CNET,https://www.youtube.com/c/CNET
11,How could cyber attacks affect you?,https://www.youtube.com/watch?v=tvO0sVDyaRw,17K views,4 years ago,NATO,https://www.youtube.com/c/NATO
12,8 Basic Cyber Attacks … and How to Avoid Them,https://www.youtube.com/watch?v=Ym00-RJnFsk,14K views,2 years ago,CompTIA,https://www.youtube.com/c/comptia
13,FBI warning school disricts of increased cyber attacks,https://www.youtube.com/watch?v=_5HmOUD_Odg,1.7K views,8 hours ago,KOAA 5,https://www.youtube.com/c/KOAA5
14,Top 10 Unbelievable Cyber Attacks of ALL TIME! | PART 2,https://www.youtube.com/watch?v=Q9qNUE1qbmc,100K views,2 months ago,TechBar,https://www.youtube.com/c/TechBar
15,Cyber attacks warning,https://www.youtube.com/watch?v=fUA0J1epeys,3.3K views,5 months ago,CBS 17,https://www.youtube.com/c/WNCNTV
16,Cyber warfare: How prepared is India?,https://www.youtube.com/watch?v=eVF1vzKysNc,25K views,1 year ago,WION,https://www.youtube.com/c/WION
17,Security Attacks : Active and Passive Attack ll Passive Attack Types Explained in Hindi,https://www.youtube.com/watch?v=szHSgMWYSiQ,217K views,3 years ago,5 Minutes Engineering,https://www.youtube.com/c/5MinutesEngineering
18,How worried should we be about deadly cyber-attacks? - BBC News,https://www.youtube.com/watch?v=zSLDT7st7DI,55K views,1 year ago,BBC News,https://www.youtube.com/c/BBCNews
